video_id,predictions,answers,prediction_time_seconds,correctPredictions,totalPredictions,totalAnswers
Y0-7PyzhzuYQ,"Music; Banjo; Musical instrument; Bluegrass; Country; Guitar; Plucked string instrument; Bowed string instrument; Violin, fiddle",Music; Bluegrass; Folk music; Music of Latin America; Flamenco; Gospel music; Music of Bollywood,1.676,2,9,7
Y0-EgET9q3qE,"Music; Musical instrument; Keyboard (musical); Piano; Electric piano; Electronic organ; Steel guitar, slide guitar; Organ",Organ; Electronic organ,1.664,2,8,2
Y0-Hzui4Qpl4,"Speech; Boiling; Inside, small room",Speech; Boiling,1.678,2,3,2
Y0-ljtP6WJrI,Whistling; Whistle; Music,Whistling,1.677,1,3,1
Y0-N62G9etNE,Music; Speech; Crowd,Speech; Groan; Music; Music of Latin America,1.707,2,3,4
Y0-o0oZvSFOk,"Speech; Sheep; Bleat; Animal; Goat; Livestock, farm animals, working animals",Speech; Bleat; Sheep,1.767,3,6,3
Y0-yskgO46Bg,Speech,"Speech; Dental drill, dentist's drill",1.687,1,1,2
Y00AGIhlv-w0,"Sanding; Rub; Animal; Dog; Domestic animals, pets; Bow-wow; Speech",Sanding; Wood; Rub,1.693,2,7,3
Y00cREXaIlnQ,"Music; Speech; Jingle, tinkle; Liquid","Boat, Water vehicle; Rowboat, canoe, kayak",1.686,0,4,2
Y00FBAdjlF4g,Speech,Creak,1.652,0,1,1
Y00G2vNrTnCc,"Speech; Music; Sonar; Inside, small room",Speech; Music; Pulse,1.722,2,4,3
Y00iiNF4tn4o,Steam; Steam whistle; Hiss; Whistle,Train whistle,1.744,0,4,1
Y00KM53yZi2A,Printer; Cash register,Printer,1.707,1,2,1
Y00mJnXKtToE,Music; Speech,"Music; Burst, pop",1.643,1,2,2
Y00vYncpl0pk,Music; Video game music; Soundtrack music; Funny music,Music; Video game music,1.756,2,4,2
Y00wORCOKNHw,"Animal; Clip-clop; Horse; Speech; Neigh, whinny; Livestock, farm animals, working animals",Clip-clop,1.702,1,6,1
Y00XaUxjGuX8,"Speech; Sniff; Drawer open or close; Inside, small room; Animal",Bouncing,1.667,0,5,1
Y00z0M1DJyAw,"Turkey; Fowl; Gobble; Chicken, rooster; Cluck; Livestock, farm animals, working animals; Bird",Fowl; Turkey; Gobble,1.651,3,7,3
Y01CiQ6VDxbo,Choir; Singing; Female singing; A capella; Music; Vocal music; Male singing,Yell,1.830,0,7,1
Y01he_d18c8o,Vehicle; Train; Car; Rail transport; Music,Train whistle; Steam whistle,1.774,0,5,2
Y01SaXyGY5SM,"Speech; Animal; Domestic animals, pets; Cat; Meow; Caterwaul; Knock; Door","Speech; Animal; Domestic animals, pets; Cat; Caterwaul",1.812,5,8,5
Y01x0zZpL87I,"Speech; Vehicle; Car; Accelerating, revving, vroom; Car passing by",Speech; Clatter,1.817,1,5,2
Y02-0m4RbDUI,"Speech; Inside, small room",Speech; Door; Knock,1.735,1,2,3
Y02Ak1eIyj3M,"Emergency vehicle; Ambulance (siren); Siren; Vehicle; Fire engine, fire truck (siren); Motor vehicle (road)",Emergency vehicle; Ambulance (siren); Siren,1.802,3,6,3
Y02Fdq2tyIWI,Music; Humming,Music; Happy music,1.682,1,2,2
Y02UvvE1oA1I,"Music; Sheep; Bleat; Animal; Goat; Speech; Livestock, farm animals, working animals",Bleat; Music,1.741,2,7,2
Y02XbmweOzOY,"Jackhammer; Machine gun; Gunshot, gunfire; Vehicle",Jackhammer,1.678,1,4,1
Y03aJ_RcnBko,Speech; Tools; Sewing machine; Music,Hammer,1.748,0,4,1
Y03c-hmoUfuc,"Telephone bell ringing; Speech; Inside, small room; Music; Telephone; Inside, large room or hall","Speech; Telephone bell ringing; Inside, small room",1.673,3,6,3
Y03c2pnO2Xv0,Wood; Vehicle; Crushing; Pump (liquid),Crushing,1.721,1,4,1
Y03IZHwOh2eQ,"Speech; Chewing, mastication; Inside, small room; Biting","Chewing, mastication",1.728,1,4,1
Y03Q2SbeP_cw,Ambulance (siren); Emergency vehicle; Siren; Music; Police car (siren); Vehicle,Emergency vehicle; Ambulance (siren); Siren,1.829,3,6,3
Y03Uz8L0u07Q,"Wild animals; Animal; Roaring cats (lions, tigers); Roar; Owl; Whistle",Animal; Wild animals,1.752,2,6,2
Y03zeVlBWhdY,Crowd; Battle cry; Cheering; Speech,Speech; Whimper,1.850,1,4,2
Y0A-VisU1k8U,Speech; Chop; Arrow,Arrow,1.744,1,3,1
Y0a5KHX_odJ8,Speech; Drawer open or close; Door; Sliding door,Speech; Bang,1.786,1,4,2
Y0a91szM1Ivw,"Music; Carnatic music; Classical music; Singing; Musical instrument; Music of Asia; Violin, fiddle; Bowed string instrument",Music; Carnatic music; Traditional music,1.808,2,8,3
Y0AA0R8gbxcI,Speech; Chant; Mantra; Music,Speech; Reverberation; Field recording,1.810,1,4,3
Y0aaLWD7TUSU,Speech,"Boat, Water vehicle; Rowboat, canoe, kayak",1.725,0,1,2
Y0abzD7hBTRk,Beatboxing; Speech; Vocal music; Music,Music; Beatboxing,1.760,2,4,2
Y0AkRWunFZPk,Speech; Typewriter; Shuffling cards; Scissors,Speech; Crunch,1.907,1,4,2
Y0AqnCSdkjQ0,"Sink (filling or washing); Water tap, faucet; Water; Liquid; Speech; Fill (with liquid); Inside, small room; Drip",Liquid; Drip,1.728,2,8,2
Y0ARh-9Amrv0,Cricket; Insect; Speech; Thunk,Speech; Knock,1.822,1,4,2
Y0aYAf-S-fKM,Music; Musical instrument; Guitar; Plucked string instrument; Echo; Reverberation; Effects unit,Echo,1.744,1,7,1
Y0B7fwvTtvLM,"Basketball bounce; Trickle, dribble; Fireworks","Trickle, dribble; Basketball bounce",1.574,2,3,2
Y0BauNGmZtTU,Thunder; Thunderstorm; Rain; Rain on surface,Thunderstorm; Thunder; Rain; Rain on surface,1.715,4,4,4
Y0BCXcbaLeoA,"Breaking; Speech; Glass; Chink, clink","Chink, clink; Breaking",1.783,2,4,2
Y0BgI0XxW0kE,Speech; Vehicle; Music; Engine,Speech; Air conditioning,1.667,1,4,2
Y0bhY7v5dJDY,Oink; Animal; Grunt; Pig,Grunt,1.712,1,4,1
Y0bKpv6YBl7g,Speech; Drawer open or close; Sliding door; Door; Wood,Speech; Drawer open or close,1.824,2,5,2
Y0BlmXxLck5g,Singing; A capella; Music; Vocal music; Yodeling; Female singing,Synthetic singing,1.907,0,6,1
Y0bO6DhC2tlU,"Stir; Frying (food); Sizzle; Dishes, pots, and pans; Speech",Frying (food); Stir; Sizzle,1.776,3,5,3
Y0bP2MH3LqvI,Music; Speech; Vehicle,"Music; Propeller, airscrew",1.693,1,3,2
Y0bRUkLsttto,Music; Rapping; Hip hop music,Music; Exciting music,1.772,1,3,2
Y0bsbkdnSgMQ,"Animal; Snort; Domestic animals, pets; Dog; Inside, small room",Creak,1.769,0,5,1
Y0bvPjMQ_WbE,Music; Steelpan; Musical instrument; Drum; Percussion,Music; Steelpan,1.826,2,5,2
Y0bWZNWZ8YCI,"Mechanisms; Gears; Rattle; Clock; Ratchet, pawl",Clatter,1.680,0,5,1
Y0c1YU_VtFRE,Music; Eruption; Wind noise (microphone); Wind; Vehicle,"Music; Outside, rural or natural; Field recording",1.821,1,5,3
Y0c78GAZ0jLY,Child singing; Music; Female singing; Singing,Child singing,1.663,1,4,1
Y0CA5CPHRXDc,Fart; Music; Mosquito,"Insect; Mosquito; Fly, housefly",1.579,1,3,3
Y0Cd8q2Zg1Mc,Snoring; Light engine (high frequency); Vehicle; Snort,Snoring,1.648,1,4,1
Y0CJFt950vOk,Civil defense siren; Siren,Siren; Civil defense siren,1.790,2,2,2
Y0Cl6hXpryhY,Speech; Screaming; Groan,Grunt; Basketball bounce,1.801,0,3,2
Y0cNYPgD6cEA,Music; Musical instrument; Singing; Guitar; Plucked string instrument; Female singing; Wedding music; Male singing,Male singing; Music,1.716,2,8,2
Y0crG6jzAUpE,"Telephone dialing, DTMF; Speech; Telephone; Dial tone; Telephone bell ringing; Music","Speech; Busy signal; Inside, small room",1.685,1,6,3
Y0CTgEP0SIVg,"Bird; Chirp, tweet; Bird vocalization, bird call, bird song; Domestic animals, pets; Animal; Bird flight, flapping wings; Dog; Cricket","Bird; Bird vocalization, bird call, bird song; Chirp, tweet; Insect; Cricket",1.723,4,8,5
Y0Cu33yBwAPg,Church bell; Bell,Church bell,1.792,1,2,1
Y0CzC0-cXe8M,Vehicle; Engine; Speech; Lawn mower; Idling; Heavy engine (low frequency); Light engine (high frequency); Truck; Vibration; Medium engine (mid frequency),Vehicle; Lawn mower,1.723,2,10,2
Y0cZQm65sZjc,"Keys jangling; Speech; Car; Vehicle; Power windows, electric windows",Speech; Keys jangling,1.775,2,5,2
Y0D9ZiiYArKw,"Speech; Zipper (clothing); Inside, small room",Speech; Flap,1.799,1,3,2
Y0dC6Ay0oqWk,Music; Zither; Pizzicato; Harp,Zither; Pizzicato,1.819,2,4,2
Y0dd6AlyOnfc,Speech; Vehicle; Music,Pump (liquid),1.812,0,3,1
Y0dgl6Rvt3X0,"Speech; Inside, public space; Chatter; Female speech, woman speaking",Speech; Single-lens reflex camera,1.718,1,4,2
Y0DizopdPMBw,Music; Grunge; Progressive rock; Rock music; Punk rock,Music; Exciting music,1.818,1,5,2
Y0DJP7ywh7nc,"Vehicle; Train; Steam whistle; Rail transport; Railroad car, train wagon; Music; Train whistle; Car",Steam whistle,1.769,1,8,1
Y0dPx94RPy2M,"Music; Tools; Power tool; Drill; Wood; Sawing; Dental drill, dentist's drill","Music; Dental drill, dentist's drill",1.797,2,7,2
Y0dVmGVa3Rbw,Single-lens reflex camera; Camera,Camera; Single-lens reflex camera,1.657,2,2,2
Y0DwRfesDQvE,"Scissors; Inside, small room",Rattle,1.800,0,2,1
Y0DzsPL-xElE,Chainsaw; Power tool; Tools,Motorcycle; Chainsaw,1.870,1,3,2
Y0EI7FxbdsUE,Frying (food); Speech; Sizzle; Stir,Speech; Music; Gush,1.888,1,4,3
Y0EiQyHjoaz8,Bicycle bell; Clock,Cash register,1.644,0,2,1
Y0EOQco76eXQ,"Music; Bass guitar; Guitar; Musical instrument; Plucked string instrument; Electronic tuner; Electric guitar; Inside, small room",Music; Musical instrument; Bass guitar; Wedding music,1.684,3,8,4
Y0EQYTfW7TDc,Chopping (food),Chopping (food),1.826,1,1,1
Y0eTrzI5-ong,"Music; Musical instrument; Violin, fiddle; Banjo; Bowed string instrument; Bluegrass; Guitar; Country; Plucked string instrument; Cello",Zither; Bowed string instrument; Pizzicato; Cello,1.751,2,10,4
Y0EvpBtracsk,Music; Musical instrument; Guitar; Rock music; Plucked string instrument; Singing; Psychedelic rock,Music; Radio,1.832,1,7,2
Y0ewQiU3q5jM,"Music; Glockenspiel; Ding-dong; Jingle, tinkle; Marimba, xylophone; Mallet percussion; Lullaby",Music; Jingle (music),1.799,1,7,2
Y0eXXRhp0p3w,Vehicle; Heavy engine (low frequency); Engine,Gush,1.810,0,3,1
Y0EyIdGgbPEo,"Speech; Music; Smash, crash",Speech; Music; Bang,1.784,2,3,3
Y0EyJ15KLxg4,Organ; Hammond organ; Electronic organ; Music; Musical instrument,Organ; Electronic organ; Hammond organ,1.762,3,5,3
Y0F-Z0zF1504,Music; Rhythm and blues; Soul music,Music; Pop music; Soul music,1.803,2,3,3
Y0F04c_rY4aw,"Howl; Animal; Dog; Domestic animals, pets; Speech; Canidae, dogs, wolves; Yip; Inside, small room",Howl,1.765,1,8,1
Y0fCpAuxrQ_I,Music; Angry music; Rock music; Progressive rock; Heavy metal,Music; Angry music,1.881,2,5,2
Y0fD-eSRrybM,Speech; Music; Boom; Mechanisms,Mechanisms; Creak,1.782,1,4,2
Y0fiOM---7QI,Music; Percussion; Tabla; Speech; Drum; Musical instrument; Wood block; Singing; Folk music,Music; Middle Eastern music,1.942,1,9,2
Y0FjrveIENzI,Music; Speech,Shuffle; Music,1.777,1,2,2
Y0foC-4n-eH0,"Animal; Dog; Domestic animals, pets; Bow-wow; Speech; Bark; Whimper (dog); Yip; Inside, small room","Animal; Domestic animals, pets; Dog; Door; Sliding door",1.615,3,9,5
Y0fqtA_ZBn_8,Music; Carnatic music; Singing; Classical music; Music of Asia; Musical instrument,Mantra; Music; Sitar; Carnatic music,1.813,2,6,4
Y0fsntL6RKww,Music; Scratch,Hammer,1.738,0,2,1
Y0fvq8YY28qI,Typewriter; Speech,"Speech; Crack; Inside, small room",1.828,1,2,3
Y0fwt2zSftIc,"Speech; Inside, small room",Mechanical fan,1.745,0,2,1
Y0fZKF6FprcA,"Vehicle; Car; Power windows, electric windows; Engine starting; Engine",Mechanisms; Creak,1.787,0,5,2
Y0Fzrv1GXHPI,"Sine wave; Heart sounds, heartbeat; Music; Chirp tone; Heart murmur; Speech; Hum",Sine wave,1.757,1,7,1
Y0g-KosNgMYA,"Music; Speech; Train; Rail transport; Railroad car, train wagon; Train horn; Train whistle; Vehicle","Rail transport; Train; Train whistle; Railroad car, train wagon",1.757,4,8,4
Y0g4SlqjORM4,French horn; Brass instrument; Music; Trombone; Musical instrument; Trumpet,Orchestra; Brass instrument; French horn,1.652,2,6,3
Y0G50t4FlbIA,Screaming; Speech; Music; Slosh,Speech; Screaming,1.717,2,4,2
Y0Ga7T-2e490,"Vehicle; Boat, Water vehicle; Wind; Wind noise (microphone); Motorboat, speedboat; Train",Vehicle; Truck; Air brake,1.727,1,6,3
Y0GFtqzOWnWg,Drill; Tools; Power tool; Speech,Jackhammer,1.686,0,4,1
Y0GhmrpFuRNQ,Music; Shout; Singing; Speech; Pop music; Crowd; Electronic music,Shout; Singing; Music,1.729,3,7,3
Y0GNNFBrRz1E,Wood; Hammer; Rub; Speech; Sawing; Filing (rasp),Hammer,1.704,1,6,1
Y0Gxn9FtaJFc,Music,Music; Sad music,1.765,1,1,2
Y0g_-KI5NZ-E,Music; Whistling; Whistle,Whistling,1.711,1,3,1
Y0H25ve3qts4,Speech; Music; Thunk,Speech; Music; Slam,1.598,2,3,3
Y0H30ORfaFK8,Stomach rumble; Speech,Stomach rumble,1.782,1,2,1
Y0H814XXq-WQ,Crowd; Battle cry; Music; Cheering; Speech,Battle cry; Crowd,1.960,2,5,2
Y0HbhE91JB-k,"Insect; Fly, housefly; Bee, wasp, etc.; Music; Speech; Cricket","Insect; Mosquito; Fly, housefly",1.790,2,6,3
Y0he6VV5Y9Bg,"Speech; Insect; Outside, rural or natural; Cricket",Insect; Cricket,1.738,2,4,2
Y0hfU27A6tus,Music; Banjo; Musical instrument; Plucked string instrument; Bluegrass; Mandolin; Singing,Music; Musical instrument; Plucked string instrument; Guitar; Banjo; Bowed string instrument; Country; Bluegrass,1.826,5,7,8
Y0HGsAx2KjPM,Music; Percussion; Wood block; Drum; Musical instrument; Maraca,Percussion; Wood block,1.820,2,6,2
Y0hjqlmdPT6g,Vehicle; Engine; Idling; Vibration; Heavy engine (low frequency); Medium engine (mid frequency); Car,Vehicle; Engine; Heavy engine (low frequency); Engine starting,1.877,3,7,4
Y0hOD_iIeePk,Vehicle; Car; Engine starting; Speech; Keys jangling; Music; Engine; Motor vehicle (road); Medium engine (mid frequency),Speech; Vehicle; Car; Engine; Engine starting,1.811,5,9,5
Y0HqZRxHCGLc,Music; Rain; Raindrop; Rain on surface; Pink noise,Wood; Splinter,1.818,0,5,2
Y0hUft9scxzY,"Speech; Crumpling, crinkling; Inside, small room; Tearing",Speech; Tearing,1.706,2,4,2
Y0hWIKYNSEPE,"Bagpipes; Music; Wind instrument, woodwind instrument; Drum","Percussion; Drum; Bass drum; Wind instrument, woodwind instrument; Bagpipes",1.927,3,4,5
Y0HXYdGGKV2k,Music; Banjo; Bluegrass; Musical instrument; Country; Plucked string instrument; Guitar,Music; Banjo; Bluegrass,1.803,3,7,3
Y0HzbpwB3xDk,"Speech; Insect; Bee, wasp, etc.; Fly, housefly; Cricket; Air conditioning",Air conditioning,1.815,1,6,1
Y0i-RTS_FXcM,Music; Cacophony; Ringtone,Music; Ringtone,1.933,2,3,2
Y0i8VM_EooCs,Music; Pop music; Music of Asia; Singing; Disco; Dance music,Music; Electronic music; Techno,1.774,1,6,3
Y0iiwZ2_9Vi8,Animal; Vehicle; Speech,Cough,1.744,0,3,1
Y0ImJuPpEpco,Vehicle; Cacophony; Aircraft,"Propeller, airscrew",1.831,0,3,1
Y0IMxRf5KZBY,"Speech; Slosh; Splash, splatter; Water; Waves, surf; Vehicle; Ocean",Speech; Slosh,1.818,2,7,2
Y0ISHZQJdeSw,Music; Rapping; Hip hop music; Speech,Music; Pop music; Middle Eastern music,1.848,1,4,3
Y0IwGsEzITQs,"Vehicle; Car; Tire squeal; Race car, auto racing; Skidding; Car passing by; Accelerating, revving, vroom; Motor vehicle (road)",Vehicle; Motor vehicle (road); Car; Tire squeal,1.824,4,8,4
Y0IxyUtHw6Ec,"Speech; Chatter; Music; Inside, public space; Crowd; Inside, large room or hall",Speech; Chatter; Music,1.761,3,6,3
Y0IzhjqyDzt8,Church bell; Bell,Church bell,1.902,1,2,1
Y0izHOfrwPn4,Music; Speech; Laughter; Quack,Speech; Quack; Music,1.824,3,4,3
Y0J3wJhQVOII,Speech; Vehicle; Air conditioning,Speech; Air conditioning,1.876,2,3,2
Y0JbGxIR8JTk,Music,Music; Ska,1.846,1,1,2
Y0jFQ21A6GRA,Music; Independent music,Music; Middle Eastern music,1.780,1,2,2
Y0jiu0RNizU8,"Music; Opera; Speech; Chuckle, chortle; Laughter; Singing; Yodeling","Bowed string instrument; Violin, fiddle",1.767,0,7,2
Y0JjprYD2Yhw,Whip,Whip,1.741,1,1,1
Y0jnvb2H25_Q,"Speech; Inside, small room; Crying, sobbing; Baby cry, infant cry; Laughter; Giggle",Speech; Humming,1.797,1,6,2
Y0Jq6WJLLSIk,"Speech; Child speech, kid speaking; Music; Children playing; Slap, smack",Speech; Oink,1.768,1,5,2
Y0jR20-0sy1Y,"Shofar; Wind instrument, woodwind instrument; Speech","Wind instrument, woodwind instrument; Shofar",1.758,2,3,2
Y0jy-sVREk4o,"Wind noise (microphone); Wind; Boat, Water vehicle; Ocean; Music; Waves, surf; Speech; Sailboat, sailing ship; Vehicle",Clip-clop,1.772,0,9,1
Y0j_nQcD7jdU,Music; Throbbing; Hum,Music; Soundtrack music; Pulse,1.747,1,3,3
Y0J_TdiZ3TKA,Music; Speech; Musical instrument; Guitar; Plucked string instrument; Strum; Acoustic guitar,Male singing; Synthetic singing; Music,1.697,1,7,3
Y0K0pXiZrUJA,"Speech; Crunch; Inside, small room; Crumpling, crinkling",Crunch,1.777,1,4,1
Y0k6KjLouAHs,"Speech; Laughter; Cough; Belly laugh; Snicker; Chuckle, chortle",Speech; Throat clearing,1.700,1,6,2
Y0KCVgexi4yU,Music; Music of Asia; Singing; Pop music,Music; Middle Eastern music; Happy music,1.746,1,4,3
Y0kIIGL-xFhY,Finger snapping,Breathing,1.672,0,1,1
Y0KKTw8pfNjg,Speech; Fire alarm; Alarm,Speech; Fire alarm,1.706,2,3,2
Y0kNCB0oGiL4,Sigh; Breathing,"Sigh; Inside, small room",1.775,1,2,2
Y0KOPvSUlNjI,"Bagpipes; Wind instrument, woodwind instrument; Music; Speech","Wind instrument, woodwind instrument; Bagpipes",1.845,2,4,2
Y0kQD1P0_KUs,Music; Video game music; Musical instrument; Swing music; Brass instrument,Music; Wedding music,1.796,1,5,2
Y0kQjfwXjFuY,Chant; Music; Speech,Chant; Music,1.798,2,3,2
Y0kqQNBR09Rc,"Speech; Music; Vehicle; Car; Skidding; Race car, auto racing; Fusillade; Shatter; Tire squeal",Skidding,1.804,1,9,1
Y0kY1isykrrs,Music; Speech; New-age music; Sad music,Speech; Music; Tender music,1.808,2,4,3
Y0L2ndtt60Q8,Music; Synthetic singing; Christian music; Christmas music,Synthetic singing; Music,1.820,2,4,2
Y0LAcf9DNd1Q,"Music; Sound effect; Boom; Whack, thwack; Whoosh, swoosh, swish; Smash, crash; Speech","Whoosh, swoosh, swish; Sound effect",1.798,2,7,2
Y0LE6Ll1rVlg,Music; Grunge; Progressive rock; Exciting music; Rock and roll; Punk rock,Music; Rhythm and blues; Exciting music,1.895,2,6,3
Y0lJyHuTVMNY,"Speech; Inside, small room; Chewing, mastication; Crunch; Biting","Speech; Crunch; Inside, small room",1.942,3,5,3
Y0LLlcPiatiU,Music; Single-lens reflex camera; Camera; Hip hop music,Music; Single-lens reflex camera,1.927,2,4,2
Y0loP4WNnL2k,"Train; Railroad car, train wagon; Rail transport; Subway, metro, underground; Train wheels squealing; Vehicle","Rail transport; Train; Railroad car, train wagon; Subway, metro, underground",1.758,4,6,4
Y0lPcHRhXlWk,Vehicle; Car; Bus,Vehicle; Bus,1.845,2,3,2
Y0lPip_ffJbk,Rub; Speech; Sanding,Speech; Writing,1.731,1,3,2
Y0LTmV_dOmmo,Speech; Knock,Speech; Knock,1.797,2,2,2
Y0LY5zuRlIac,Drum; Drum kit; Snare drum; Bass drum; Cymbal; Music; Musical instrument; Percussion; Hi-hat; Drum roll,Cymbal; Hi-hat,1.849,2,10,2
Y0m2rwP3eYno,Sonar; Music,Sonar,1.832,1,2,1
Y0m9-5BkL4Mc,Music; Country; Bluegrass; Child singing; Singing; Musical instrument; Female singing; Rock and roll,Child singing; Music,1.903,2,8,2
Y0Mba3BS1oRM,Speech; Pink noise; Boiling,Speech; Boiling,1.873,2,3,2
Y0mD4OcdidBM,"Siren; Civil defense siren; Vehicle; Wind instrument, woodwind instrument; Shofar",Siren; Civil defense siren,1.912,2,5,2
Y0MEPG8c0jqk,"Speech; Crumpling, crinkling; Tearing; Inside, small room; Typewriter","Speech; Crumpling, crinkling; Inside, small room",1.822,3,5,3
Y0ml1KwECOo8,Snoring,Snoring,1.791,1,1,1
Y0mNvPaqfwUI,"Vehicle; Train; Rail transport; Railroad car, train wagon; Hiss; Steam; Subway, metro, underground; Fixed-wing aircraft, airplane; Aircraft; Jet engine","Rail transport; Train; Railroad car, train wagon; Train wheels squealing",1.782,3,10,4
Y0MV5mb0RJLY,Speech; Quack; Duck; Animal,"Speech; Animal; Duck; Inside, small room",1.834,3,4,4
Y0mXkme9abiU,"Music; Speech; Musical instrument; Guitar; Plucked string instrument; Inside, small room",Chirp tone,1.793,0,6,1
Y0mZQ6Q-viPw,"Chewing, mastication; Animal; Domestic animals, pets; Snort",Cough,1.889,0,4,1
Y0MzrXd8CUCg,"Music; Theremin; Wind instrument, woodwind instrument; Musical instrument; Brass instrument; Shofar; French horn; Flute",Music; Foghorn,1.759,1,8,2
Y0N17tEW_WEU,Speech; Speech synthesizer,"Speech; Narration, monologue",1.869,1,2,2
Y0N3-lCzOQPI,Frog; Croak; Music,Frog; Croak,1.746,2,3,2
Y0N6S5OoG7Vg,"Emergency vehicle; Vehicle; Speech; Ambulance (siren); Siren; Car; Police car (siren); Fire engine, fire truck (siren); Motor vehicle (road)",Wind; Wind noise (microphone); Fire,1.824,0,9,3
Y0N9EN0BEjP0,"Vehicle; Bus; Train; Rail transport; Railroad car, train wagon","Vehicle; Truck; Bus; Traffic noise, roadway noise",1.775,2,5,4
