video_id,predictions,answers,prediction_time_seconds,correctPredictions,totalPredictions,totalAnswers
Y-1LQP2wemiQ,Speech; Busy signal; Telephone; Dial tone,"Speech; Female speech, woman speaking; Beep, bleep",2.230,1,4,3
Y-1nilez17Dg,"Heart sounds, heartbeat; Speech; Heart murmur",Speech; Heart murmur,2.260,2,3,2
Y-1OlgJWehn8,Music; Singing; Pink noise; Guitar; Musical instrument,Music; Radio,2.212,1,5,2
Y-1pPw9zZopA,"Speech; Toilet flush; Water; Inside, small room; Fill (with liquid)",Water; Toilet flush,2.152,2,5,2
Y-1pRmoJIGQc,Vehicle; Engine; Idling; Car; Medium engine (mid frequency); Vibration; Engine knocking; Heavy engine (low frequency),Engine; Engine knocking; Idling,2.104,3,8,3
Y-1PZQg5Gi8A,Music; Speech; Brass instrument; Trombone; Trumpet; French horn; Shatter; Orchestra,"Smash, crash",2.263,0,8,1
Y-1UWSisR2zo,Music; Speech; Bang; Crowd; Electronic music; Techno,Music; Maraca,2.347,1,6,2
Y-2EKWgTNEYU,"Vehicle; Music; Vehicle horn, car horn, honking; Air horn, truck horn; Speech",Radio,2.376,0,5,1
Y-2sE5CH8Wb8,Vehicle; Printer; Music,Vehicle; Truck; Reversing beeps,2.353,1,3,3
Y-2xiZDEuHd8,"Music; Speech; Burping, eructation; Grunt; Music for children",Speech; Oink; Music,2.242,2,5,3
Y-3-4qmWSJXU,Thunder; Rain; Thunderstorm; Rain on surface; Raindrop,Thunderstorm; Thunder; Rain; Rain on surface,2.256,4,5,4
Y-3Kv4fdm7Uk,Music; Steelpan; Musical instrument; Drum,Music; Musical instrument; Steelpan,2.136,3,4,3
Y-ZJqu_4zLMc,"Cat; Speech; Animal; Domestic animals, pets; Meow; Caterwaul; Inside, small room","Speech; Animal; Domestic animals, pets; Cat; Meow; Caterwaul",2.142,6,7,6
Y-_f_ClsDxyc,Music; Brass instrument; Musical instrument; Saxophone; Clarinet; French horn; Bowed string instrument; Orchestra; Classical music; Cello,Brass instrument; Trumpet; Clarinet,2.292,2,10,3
Y-_HXiz8XnV0,"Speech; Music; Thunk; Shatter; Inside, small room; Ding-dong","Speech; Music; Breaking; Inside, small room",2.224,3,6,4
Y-_QPd-VskKY,Speech; Vehicle; Animal,Mouse,2.271,0,3,1
Y-_UCboMO_xE,"Speech; Laughter; Snicker; Chuckle, chortle; Music; Singing","Slap, smack",2.100,0,6,1
Y0-2Onbywljo,Speech; Music; Oink; Pig; Animal,Speech; Grunt; Pig; Music,2.227,3,5,4
Y0-6N0Qagy5A,"Bicycle bell; Music; Heart sounds, heartbeat; Heart murmur",Music; Synthesizer; Bicycle bell,2.201,2,4,3
Y0-7PyzhzuYQ,Music; Banjo; Musical instrument; Bluegrass; Country; Plucked string instrument; Traditional music; Guitar; Bowed string instrument; Folk music,Music; Bluegrass; Folk music; Music of Latin America; Flamenco; Gospel music; Music of Bollywood,2.149,3,10,7
Y0-EgET9q3qE,Organ; Electronic organ; Music; Hammond organ; Keyboard (musical); Musical instrument; Piano; Electric piano,Organ; Electronic organ,2.205,2,8,2
Y0-Hzui4Qpl4,Speech; Tools,Speech; Boiling,2.137,1,2,2
Y0-ljtP6WJrI,Whistling; Whistle; Music,Whistling,2.098,1,3,1
Y0-N62G9etNE,"Music; Speech; Crowd; Hubbub, speech noise, speech babble",Speech; Groan; Music; Music of Latin America,2.090,2,4,4
Y0-o0oZvSFOk,"Speech; Sheep; Bleat; Animal; Goat; Livestock, farm animals, working animals",Speech; Bleat; Sheep,2.236,3,6,3
Y0-yskgO46Bg,"Speech; Music; Inside, small room","Speech; Dental drill, dentist's drill",2.064,1,3,2
Y00AGIhlv-w0,"Sanding; Dog; Domestic animals, pets; Rub; Animal; Wood",Sanding; Wood; Rub,2.108,3,6,3
Y00cREXaIlnQ,"Music; Speech; Jingle, tinkle; Music for children; Pour; Liquid; Slosh; Water","Boat, Water vehicle; Rowboat, canoe, kayak",2.121,0,8,2
Y00FBAdjlF4g,"Speech; Drawer open or close; Inside, small room; Door; Cupboard open or close",Creak,2.068,0,5,1
Y00G2vNrTnCc,"Music; Speech; Sonar; Inside, small room; Rumble; Electronic music; Scary music",Speech; Music; Pulse,2.123,2,7,3
Y00iiNF4tn4o,Steam whistle; Steam; Hiss; Speech; Whistle; Music,Train whistle,2.027,0,6,1
Y00KM53yZi2A,Printer,Printer,2.066,1,1,1
Y00mJnXKtToE,Music; Speech,"Music; Burst, pop",2.038,1,2,2
Y00vYncpl0pk,Music; Video game music; Funny music; Soundtrack music; Cacophony,Music; Video game music,2.136,2,5,2
Y00wORCOKNHw,"Clip-clop; Horse; Animal; Neigh, whinny; Speech; Livestock, farm animals, working animals",Clip-clop,2.029,1,6,1
Y00XaUxjGuX8,"Speech; Inside, small room; Sniff; Animal; Dog; Domestic animals, pets; Drawer open or close",Bouncing,2.124,0,7,1
Y00z0M1DJyAw,"Fowl; Turkey; Gobble; Chicken, rooster; Bird flight, flapping wings; Cluck",Fowl; Turkey; Gobble,2.147,3,6,3
Y01CiQ6VDxbo,Choir; Singing; A capella; Female singing; Vocal music; Music; Male singing; Speech,Yell,2.134,0,8,1
Y01he_d18c8o,Vehicle; Engine; Car; Engine starting; Motorcycle,Train whistle; Steam whistle,2.053,0,5,2
Y01SaXyGY5SM,"Cat; Animal; Domestic animals, pets; Speech; Meow; Caterwaul","Speech; Animal; Domestic animals, pets; Cat; Caterwaul",2.171,5,6,5
Y01x0zZpL87I,"Vehicle; Speech; Car; Accelerating, revving, vroom; Race car, auto racing",Speech; Clatter,2.056,1,5,2
Y02-0m4RbDUI,"Speech; Inside, small room",Speech; Door; Knock,2.105,1,2,3
Y02Ak1eIyj3M,"Emergency vehicle; Ambulance (siren); Siren; Vehicle; Motor vehicle (road); Fire engine, fire truck (siren); Car; Truck",Emergency vehicle; Ambulance (siren); Siren,2.162,3,8,3
Y02Fdq2tyIWI,Music; Speech; Humming; Singing,Music; Happy music,2.082,1,4,2
Y02UvvE1oA1I,"Music; Sheep; Bleat; Animal; Goat; Livestock, farm animals, working animals; Guitar; Plucked string instrument; Musical instrument; Speech",Bleat; Music,2.055,2,10,2
Y02XbmweOzOY,"Machine gun; Gunshot, gunfire; Jackhammer; Speech",Jackhammer,2.136,1,4,1
Y03aJ_RcnBko,Hammer; Tools; Speech; Music,Hammer,2.050,1,4,1
Y03c-hmoUfuc,"Speech; Telephone bell ringing; Inside, small room","Speech; Telephone bell ringing; Inside, small room",2.064,3,3,3
Y03c2pnO2Xv0,Crushing; Wood; Vehicle; Engine,Crushing,2.091,1,4,1
Y03IZHwOh2eQ,"Speech; Inside, small room; Chewing, mastication; Biting","Chewing, mastication",2.052,1,4,1
Y03Q2SbeP_cw,Music; Siren; Emergency vehicle; Ambulance (siren); Vehicle,Emergency vehicle; Ambulance (siren); Siren,2.143,3,5,3
Y03Uz8L0u07Q,"Animal; Wild animals; Roaring cats (lions, tigers); Roar; Music; Whistle",Animal; Wild animals,2.058,2,6,2
Y03zeVlBWhdY,Speech; Crowd; Cheering; Battle cry; Whoop,Speech; Whimper,2.067,1,5,2
Y0A-VisU1k8U,Speech; Wood,Arrow,2.123,0,2,1
Y0a5KHX_odJ8,"Speech; Door; Cupboard open or close; Slam; Inside, small room; Drawer open or close",Speech; Bang,2.128,1,6,2
Y0a91szM1Ivw,Carnatic music; Music; Classical music; Musical instrument; Singing; Bowed string instrument; Sitar; Music of Asia,Music; Carnatic music; Traditional music,2.132,2,8,3
Y0AA0R8gbxcI,Chant; Choir; Speech; Music; Mantra; Singing; A capella; Vocal music,Speech; Reverberation; Field recording,2.068,1,8,3
Y0aaLWD7TUSU,"Speech; Vehicle; Stream; Boat, Water vehicle; Rowboat, canoe, kayak","Boat, Water vehicle; Rowboat, canoe, kayak",2.054,2,5,2
Y0abzD7hBTRk,Beatboxing; Speech; Vocal music,Music; Beatboxing,2.051,1,3,2
Y0AkRWunFZPk,"Speech; Inside, small room; Scissors; Typewriter",Speech; Crunch,2.098,1,4,2
Y0AqnCSdkjQ0,"Water; Sink (filling or washing); Water tap, faucet; Liquid; Music; Speech; Fill (with liquid); Toilet flush; Trickle, dribble",Liquid; Drip,2.050,1,9,2
Y0ARh-9Amrv0,Speech; Insect; Cricket,Speech; Knock,2.165,1,3,2
Y0aYAf-S-fKM,Music; Tubular bells; Musical instrument; Gong,Echo,2.161,0,4,1
Y0B7fwvTtvLM,Fireworks; Firecracker; Basketball bounce,"Trickle, dribble; Basketball bounce",1.959,1,3,2
Y0BauNGmZtTU,Thunder; Thunderstorm; Rain; Rain on surface; Raindrop; Rustle,Thunderstorm; Thunder; Rain; Rain on surface,2.076,4,6,4
Y0BCXcbaLeoA,"Speech; Breaking; Glass; Chink, clink; Shatter; Children playing","Chink, clink; Breaking",2.146,2,6,2
Y0BgI0XxW0kE,Speech; Vehicle; Engine,Speech; Air conditioning,2.074,1,3,2
Y0bhY7v5dJDY,Silence; Music,Grunt,2.057,0,2,1
Y0bKpv6YBl7g,"Speech; Drawer open or close; Inside, small room",Speech; Drawer open or close,2.032,2,3,2
Y0BlmXxLck5g,Music; Singing; A capella; Vocal music; Female singing; Choir; Yodeling; Humming,Synthetic singing,2.091,0,8,1
Y0bO6DhC2tlU,Stir; Frying (food); Sizzle; Speech,Frying (food); Stir; Sizzle,2.111,3,4,3
Y0bP2MH3LqvI,Music; Speech; Vehicle; Bicycle,"Music; Propeller, airscrew",2.072,1,4,2
Y0bRUkLsttto,Music; Hip hop music; Rapping,Music; Exciting music,2.083,1,3,2
Y0bsbkdnSgMQ,"Animal; Walk, footsteps; Zipper (clothing); Inside, small room",Creak,2.029,0,4,1
Y0bvPjMQ_WbE,Music; Steelpan; Drum; Musical instrument; Percussion,Music; Steelpan,2.161,2,5,2
Y0bWZNWZ8YCI,"Alarm; Ratchet, pawl; Alarm clock; Mechanisms; Gears",Clatter,2.069,0,5,1
Y0c1YU_VtFRE,"Music; Vehicle; Wind noise (microphone); Wind; Waves, surf","Music; Outside, rural or natural; Field recording",2.148,1,5,3
Y0c78GAZ0jLY,Music; Child singing; Female singing; Singing; Lullaby; Synthetic singing,Child singing,2.053,1,6,1
Y0CA5CPHRXDc,"Mosquito; Fly, housefly; Insect; Speech; Fusillade; Music","Insect; Mosquito; Fly, housefly",1.968,3,6,3
Y0Cd8q2Zg1Mc,Snoring; Snort,Snoring,2.116,1,2,1
Y0CJFt950vOk,Civil defense siren; Siren,Siren; Civil defense siren,2.064,2,2,2
Y0Cl6hXpryhY,Speech; Bird; Screaming; Fowl; Groan,Grunt; Basketball bounce,2.132,0,5,2
Y0cNYPgD6cEA,Music; Singing; Musical instrument; Guitar; Plucked string instrument; Male singing; Female singing,Male singing; Music,2.195,2,7,2
Y0crG6jzAUpE,Speech; Telephone bell ringing; Dial tone; Telephone; Ringtone,"Speech; Busy signal; Inside, small room",2.161,1,5,3
Y0CTgEP0SIVg,"Bird; Bird vocalization, bird call, bird song; Chirp, tweet; Insect; Animal; Cricket; Outside, rural or natural","Bird; Bird vocalization, bird call, bird song; Chirp, tweet; Insect; Cricket",2.146,5,7,5
Y0Cu33yBwAPg,Church bell; Bell,Church bell,2.222,1,2,1
Y0CzC0-cXe8M,Vehicle; Idling; Engine; Truck; Lawn mower; Heavy engine (low frequency),Vehicle; Lawn mower,2.174,2,6,2
Y0cZQm65sZjc,Keys jangling; Speech; Vehicle; Car,Speech; Keys jangling,2.082,2,4,2
Y0D9ZiiYArKw,"Speech; Inside, small room; Zipper (clothing)",Speech; Flap,2.177,1,3,2
Y0dC6Ay0oqWk,Music; Zither; Pizzicato; Harp; Musical instrument,Zither; Pizzicato,2.102,2,5,2
Y0dd6AlyOnfc,Speech; Music; Vehicle; Pump (liquid),Pump (liquid),2.198,1,4,1
Y0dgl6Rvt3X0,"Speech; Chatter; Inside, public space; Inside, large room or hall",Speech; Single-lens reflex camera,2.107,1,4,2
Y0DizopdPMBw,Music; Grunge; Punk rock; Progressive rock; Rock music; Heavy metal,Music; Exciting music,2.142,1,6,2
Y0DJP7ywh7nc,"Steam whistle; Vehicle; Train; Train whistle; Rail transport; Railroad car, train wagon; Steam",Steam whistle,2.157,1,7,1
Y0dPx94RPy2M,Music; Tools; Power tool; Drill; Wood; Sawing; Musical instrument; Guitar; Drum kit,"Music; Dental drill, dentist's drill",2.099,1,9,2
Y0dVmGVa3Rbw,Single-lens reflex camera; Camera,Camera; Single-lens reflex camera,2.108,2,2,2
Y0DwRfesDQvE,"Inside, small room",Rattle,2.133,0,1,1
Y0DzsPL-xElE,Chainsaw; Vehicle; Motorcycle; Engine; Tools,Motorcycle; Chainsaw,2.055,2,5,2
Y0EI7FxbdsUE,Speech; Music; Frying (food); Rain; Rain on surface; Water; Pour; Raindrop,Speech; Music; Gush,2.174,2,8,3
Y0EiQyHjoaz8,Cash register; Telephone bell ringing,Cash register,2.072,1,2,1
Y0EOQco76eXQ,"Music; Guitar; Musical instrument; Plucked string instrument; Bass guitar; Animal; Domestic animals, pets; Acoustic guitar; Dog; Strum",Music; Musical instrument; Bass guitar; Wedding music,2.130,3,10,4
Y0EQYTfW7TDc,Chopping (food); Music; Guitar; Musical instrument; Plucked string instrument; Acoustic guitar; Strum,Chopping (food),2.121,1,7,1
Y0eTrzI5-ong,"Music; Musical instrument; Banjo; Bluegrass; Violin, fiddle; Bowed string instrument; Guitar; Plucked string instrument; Country; Mandolin",Zither; Bowed string instrument; Pizzicato; Cello,2.106,1,10,4
Y0EvpBtracsk,Music; Singing; Pink noise; Guitar; Musical instrument,Music; Radio,2.053,1,5,2
Y0ewQiU3q5jM,"Glockenspiel; Mallet percussion; Marimba, xylophone; Chime; Music",Music; Jingle (music),2.136,1,5,2
Y0eXXRhp0p3w,Vehicle; Engine; Car,Gush,2.113,0,3,1
Y0EyIdGgbPEo,"Music; Speech; Bellow; Whoop; Smash, crash",Speech; Music; Bang,2.150,2,5,3
Y0EyJ15KLxg4,Organ; Hammond organ; Electronic organ; Keyboard (musical); Electric piano; Piano,Organ; Electronic organ; Hammond organ,2.083,3,6,3
Y0F-Z0zF1504,Music; Rhythm and blues,Music; Pop music; Soul music,2.150,1,2,3
Y0F04c_rY4aw,"Howl; Speech; Animal; Dog; Domestic animals, pets; Canidae, dogs, wolves; Inside, small room; Whimper (dog); Yip",Howl,2.127,1,9,1
Y0fCpAuxrQ_I,Music; Angry music; Rock music; Progressive rock; Heavy metal; Musical instrument; Punk rock; Guitar,Music; Angry music,2.017,2,8,2
Y0fD-eSRrybM,"Speech; Music; Mechanisms; Thump, thud; Boom; Crack",Mechanisms; Creak,2.029,1,6,2
Y0fiOM---7QI,Music; Tabla; Middle Eastern music; Percussion; Folk music; Speech; Musical instrument; Drum,Music; Middle Eastern music,2.131,2,8,2
Y0FjrveIENzI,Music; Speech; Guitar; Meow; Plucked string instrument; Musical instrument; Cat,Shuffle; Music,2.098,1,7,2
Y0foC-4n-eH0,"Animal; Dog; Domestic animals, pets; Bow-wow; Speech; Whimper (dog); Inside, small room; Door","Animal; Domestic animals, pets; Dog; Door; Sliding door",1.884,4,8,5
Y0fqtA_ZBn_8,Music; Carnatic music; Classical music; Mantra; Musical instrument; Singing,Mantra; Music; Sitar; Carnatic music,2.120,3,6,4
Y0fsntL6RKww,Music; Skateboard,Hammer,2.197,0,2,1
Y0fvq8YY28qI,Speech; Typewriter; Typing,"Speech; Crack; Inside, small room",2.066,1,3,3
Y0fwt2zSftIc,"Speech; Engine; Vehicle; Inside, small room; Engine starting; Idling",Mechanical fan,2.300,0,6,1
Y0fZKF6FprcA,Vehicle; Car; Engine starting; Engine; Idling; Medium engine (mid frequency); Motor vehicle (road),Mechanisms; Creak,2.293,0,7,2
Y0Fzrv1GXHPI,"Music; Heart sounds, heartbeat; Heart murmur; Throbbing; Hum",Sine wave,2.082,0,5,1
Y0g-KosNgMYA,Music; Speech; Vehicle; Skateboard; Train,"Rail transport; Train; Train whistle; Railroad car, train wagon",2.092,1,5,4
Y0g4SlqjORM4,Brass instrument; French horn; Music; Trombone; Trumpet; Musical instrument,Orchestra; Brass instrument; French horn,2.086,2,6,3
Y0G50t4FlbIA,Screaming; Speech,Speech; Screaming,2.056,2,2,2
Y0Ga7T-2e490,"Vehicle; Boat, Water vehicle; Wind noise (microphone); Motorboat, speedboat; Wind; Car; Flap",Vehicle; Truck; Air brake,2.077,1,7,3
Y0GFtqzOWnWg,"Drill; Speech; Tools; Power tool; Mechanisms; Ratchet, pawl",Jackhammer,2.040,0,6,1
Y0GhmrpFuRNQ,"Music; Singing; Shout; Crowd; Whoop; Inside, large room or hall; Speech; Yell",Shout; Singing; Music,2.042,3,8,3
Y0GNNFBrRz1E,"Rub; Wood; Filing (rasp); Dishes, pots, and pans; Stir; Speech; Hammer",Hammer,2.149,1,7,1
Y0Gxn9FtaJFc,Music; Independent music,Music; Sad music,2.273,1,2,2
Y0g_-KI5NZ-E,Music; Whistling; Whistle,Whistling,2.033,1,3,1
Y0H25ve3qts4,Speech; Music,Speech; Music; Slam,2.083,2,2,3
Y0H30ORfaFK8,Stomach rumble,Stomach rumble,2.130,1,1,1
Y0H814XXq-WQ,Crowd; Battle cry; Children shouting; Cheering; Music; Speech,Battle cry; Crowd,2.156,2,6,2
Y0HbhE91JB-k,"Insect; Fly, housefly; Bee, wasp, etc.; Music; Speech; Mosquito; Cricket","Insect; Mosquito; Fly, housefly",2.217,3,7,3
Y0he6VV5Y9Bg,Speech; Cricket; Insect,Insect; Cricket,2.032,2,3,2
Y0hfU27A6tus,Music; Banjo; Musical instrument; Sitar; Plucked string instrument; Speech; Bluegrass; Country,Music; Musical instrument; Plucked string instrument; Guitar; Banjo; Bowed string instrument; Country; Bluegrass,2.093,6,8,8
Y0HGsAx2KjPM,Music; Wood block; Percussion; Musical instrument; Drum,Percussion; Wood block,2.037,2,5,2
Y0hjqlmdPT6g,Vehicle; Engine; Idling; Medium engine (mid frequency); Heavy engine (low frequency); Car; Vibration; Engine knocking,Vehicle; Engine; Heavy engine (low frequency); Engine starting,2.101,3,8,4
Y0hOD_iIeePk,Vehicle; Car; Speech; Engine starting; Motor vehicle (road); Engine,Speech; Vehicle; Car; Engine; Engine starting,2.122,5,6,5
Y0HqZRxHCGLc,"Music; Waves, surf; Rain on surface",Wood; Splinter,2.026,0,3,2
Y0hUft9scxzY,"Crumpling, crinkling; Speech; Inside, small room; Tearing",Speech; Tearing,2.062,2,4,2
Y0hWIKYNSEPE,"Bagpipes; Music; Wind instrument, woodwind instrument","Percussion; Drum; Bass drum; Wind instrument, woodwind instrument; Bagpipes",2.073,2,3,5
Y0HXYdGGKV2k,Music; Banjo; Musical instrument; Bluegrass; Country; Plucked string instrument; Guitar,Music; Banjo; Bluegrass,2.031,3,7,3
Y0HzbpwB3xDk,"Speech; Insect; Bee, wasp, etc.; Fly, housefly; Train; Vehicle; Air conditioning",Air conditioning,2.055,1,7,1
Y0i-RTS_FXcM,Music; Synthesizer; Musical instrument; Keyboard (musical); Piano; Electric piano; Video game music; Cacophony,Music; Ringtone,2.053,1,8,2
Y0i8VM_EooCs,Music; Pop music; Singing; Music of Asia; Disco,Music; Electronic music; Techno,2.043,1,5,3
Y0iiwZ2_9Vi8,"Animal; Vehicle; Domestic animals, pets",Cough,2.072,0,3,1
Y0ImJuPpEpco,Vehicle; Car,"Propeller, airscrew",2.078,0,2,1
Y0IMxRf5KZBY,"Speech; Splash, splatter; Water; Stream; Slosh; Waves, surf",Speech; Slosh,2.054,2,6,2
Y0ISHZQJdeSw,Music; Rapping; Hip hop music,Music; Pop music; Middle Eastern music,2.103,1,3,3
Y0IwGsEzITQs,"Vehicle; Car; Race car, auto racing; Tire squeal; Accelerating, revving, vroom; Skidding; Motor vehicle (road)",Vehicle; Motor vehicle (road); Car; Tire squeal,2.030,4,7,4
Y0IxyUtHw6Ec,"Speech; Chatter; Crowd; Inside, large room or hall; Inside, public space; Outside, urban or manmade",Speech; Chatter; Music,2.068,2,6,3
Y0IzhjqyDzt8,Church bell; Bell,Church bell,2.137,1,2,1
Y0izHOfrwPn4,Music; Speech; Fowl; Honk; Goose; Coin (dropping),Speech; Quack; Music,2.022,2,6,3
Y0J3wJhQVOII,Speech; Vehicle; Air conditioning; Car; Engine,Speech; Air conditioning,2.081,2,5,2
Y0JbGxIR8JTk,Music; Singing; Musical instrument; Guitar,Music; Ska,2.063,1,4,2
Y0jFQ21A6GRA,Music; Musical instrument; Guitar; Acoustic guitar; Plucked string instrument; Strum; Country,Music; Middle Eastern music,2.145,1,7,2
Y0jiu0RNizU8,"Music; Opera; Classical music; Yodeling; Singing; Laughter; Chuckle, chortle; Speech; Bowed string instrument","Bowed string instrument; Violin, fiddle",2.113,1,9,2
Y0JjprYD2Yhw,Whip,Whip,1.991,1,1,1
Y0jnvb2H25_Q,"Speech; Baby laughter; Laughter; Inside, small room; Giggle; Babbling; Belly laugh",Speech; Humming,2.046,1,7,2
Y0Jq6WJLLSIk,"Speech; Slap, smack; Music",Speech; Oink,2.103,1,3,2
Y0jR20-0sy1Y,"Shofar; Wind instrument, woodwind instrument; Music; Speech; Musical instrument","Wind instrument, woodwind instrument; Shofar",2.000,2,5,2
Y0jy-sVREk4o,"Wind noise (microphone); Boat, Water vehicle; Wind; Vehicle; Speech; Waves, surf; Ocean; Sailboat, sailing ship",Clip-clop,2.133,0,8,1
Y0j_nQcD7jdU,Throbbing; Hum; Music; Mains hum,Music; Soundtrack music; Pulse,2.130,1,4,3
Y0J_TdiZ3TKA,Music; Speech; Musical instrument; Guitar; Plucked string instrument; Singing,Male singing; Synthetic singing; Music,2.167,1,6,3
Y0K0pXiZrUJA,"Speech; Crunch; Inside, small room; Biting; Crumpling, crinkling; Chewing, mastication",Crunch,2.090,1,6,1
Y0k6KjLouAHs,"Speech; Laughter; Cough; Belly laugh; Giggle; Inside, small room; Chuckle, chortle; Snicker",Speech; Throat clearing,2.058,1,8,2
Y0KCVgexi4yU,Music; Music of Asia; Singing; Pop music,Music; Middle Eastern music; Happy music,2.124,1,4,3
Y0kIIGL-xFhY,"Finger snapping; Inside, small room",Breathing,2.051,0,2,1
Y0KKTw8pfNjg,"Speech; Fire alarm; Alarm; Smoke detector, smoke alarm; Bell",Speech; Fire alarm,2.086,2,5,2
Y0kNCB0oGiL4,Wheeze; Snort; Sigh; Gasp,"Sigh; Inside, small room",2.136,1,4,2
Y0KOPvSUlNjI,"Bagpipes; Wind instrument, woodwind instrument; Music; Speech","Wind instrument, woodwind instrument; Bagpipes",2.099,2,4,2
Y0kQD1P0_KUs,Music; Salsa music; Musical instrument; Brass instrument; Music of Africa; Music of Latin America; Drum,Music; Wedding music,2.014,1,7,2
Y0kQjfwXjFuY,Music; Chant; Singing,Chant; Music,2.031,2,3,2
Y0kqQNBR09Rc,"Vehicle; Speech; Music; Skidding; Car; Tire squeal; Race car, auto racing; Shatter; Motor vehicle (road); Fusillade",Skidding,2.130,1,10,1
Y0kY1isykrrs,Music; Mantra; Speech; New-age music; Sad music,Speech; Music; Tender music,2.109,2,5,3
Y0L2ndtt60Q8,"Music; Synthetic singing; Maraca; Inside, small room; Rattle",Synthetic singing; Music,2.074,2,5,2
Y0LAcf9DNd1Q,Music; Boom,"Whoosh, swoosh, swish; Sound effect",2.092,0,2,2
Y0LE6Ll1rVlg,Music; Grunge; Punk rock; Progressive rock; Rock and roll; Heavy metal,Music; Rhythm and blues; Exciting music,2.043,1,6,3
Y0lJyHuTVMNY,"Speech; Inside, small room; Crunch; Chewing, mastication; Biting","Speech; Crunch; Inside, small room",2.048,3,5,3
Y0LLlcPiatiU,Music; Silence; Single-lens reflex camera,Music; Single-lens reflex camera,2.194,2,3,2
Y0loP4WNnL2k,"Train; Subway, metro, underground; Rail transport; Railroad car, train wagon; Vehicle; Speech; Train wheels squealing","Rail transport; Train; Railroad car, train wagon; Subway, metro, underground",2.042,4,7,4
Y0lPcHRhXlWk,Vehicle; Car; Bus,Vehicle; Bus,2.061,2,3,2
Y0lPip_ffJbk,Rub; Sanding; Speech,Speech; Writing,2.063,1,3,2
Y0LTmV_dOmmo,Chopping (food); Speech,Speech; Knock,2.009,1,2,2
Y0LY5zuRlIac,Drum; Drum kit; Snare drum; Bass drum; Percussion; Drum roll; Rimshot; Musical instrument; Music; Cymbal,Cymbal; Hi-hat,2.009,1,10,2
Y0m2rwP3eYno,Music,Sonar,2.018,0,1,1
Y0m9-5BkL4Mc,Music; Child singing; Musical instrument; Speech; Guitar; Singing; Harmonica; Plucked string instrument; Country,Child singing; Music,2.100,2,9,2
Y0Mba3BS1oRM,"Speech; Boiling; Inside, small room",Speech; Boiling,2.033,2,3,2
Y0mD4OcdidBM,"Siren; Civil defense siren; Shofar; Wind instrument, woodwind instrument",Siren; Civil defense siren,2.036,2,4,2
Y0MEPG8c0jqk,"Speech; Typewriter; Inside, small room; Thunk; Crumpling, crinkling","Speech; Crumpling, crinkling; Inside, small room",2.080,3,5,3
Y0ml1KwECOo8,Snoring,Snoring,2.124,1,1,1
Y0mNvPaqfwUI,"Vehicle; Train; Railroad car, train wagon; Rail transport; Aircraft","Rail transport; Train; Railroad car, train wagon; Train wheels squealing",2.160,3,5,4
Y0MV5mb0RJLY,"Speech; Quack; Duck; Animal; Whispering; Bird; Inside, small room","Speech; Animal; Duck; Inside, small room",2.092,4,7,4
Y0mXkme9abiU,Speech; Music; Tuning fork; Chirp tone,Chirp tone,2.129,1,4,1
Y0mZQ6Q-viPw,"Chewing, mastication; Biting; Domestic animals, pets; Dog; Animal; Crunch",Cough,2.256,0,6,1
Y0MzrXd8CUCg,"Music; Theremin; Musical instrument; Wind instrument, woodwind instrument; Flute; Shofar; Ambient music",Music; Foghorn,2.247,1,7,2
